id,payor,payee,amount
63,Rene Collins,Lawrence Rabb,1.8
64,Craig Mann,Elaine Taylor,25.926
65,Pamela Quist,Sharon Greene,9.2
66,Edna Martin,Sergio Rowland,0.1
67,Pamela Quist,Raymond Lewis,3.4
68,Wendell Sprankle,Pamela Wilson,0.7
69,Allen Lucero,Emmett Anderson,1.0
70,Andrea Hernandez,Aurelio Schmidt,10.0
71,William Zook,Joseph Grimm,0.9
72,Sarah Norton,Tracy Gagnon,8.0
73,Erin Dawkins,Alfred Doran,5.6
74,William Mcginty,Jackie Guthrie,0.1
75,Elizabeth Brown,Sandra Martin,62.702
76,Carl Anderson,Inez Pam,0.5
77,Octavia Suarez,Ruth Quezada,12.603
78,Tatiana Broyles,Kathryn Hanlon,694.1
79,Patsy Olson,Colene Edelman,357.1
80,Theresa Lopez,Joseph Richardson,4.1
81,Michael Rutledge,Maria Martinez,0.2
82,Billy Tyler,John Marquez,6.5
83,Pauline Winstead,Patricia Pierre,1.4
84,Antonio Richardson,Karl Mccosker,14.059999999999999
85,Richard Robinson,Charles Gary,4.3
86,Claude Cox,Vi Seawright,0.6
87,Samantha Ball,Michael Elkin,41.5
88,Irving Bennett,Christopher Lindsey,1.2
89,Peter Castillo,Dionna Gough,0.6
90,Margaret Quintero,Stephen Moss,4.9
91,Billy Bozell,Oscar Smith,10.004999999999999
92,Karen Stoker,Clarence Wooten,419.7
93,Kina Miller,Sherri Culpepper,1.2
94,Wendy Johns,Anthony Barajas,807.4
95,Reginald Eatmon,William Strefeler,139.3
96,Marvin Reitmeier,Chas Ochs,3.8
97,Judith Billings,Derek Herrera,7.8
98,Kent Vincent,Sarah Norton,0.9
99,Elizabeth Brown,James Casarez,5.1
100,Bertha Samuelson,Lara Ziego,2.8
101,Debbie Blanchard,Elaine Taylor,75.9
102,Betty Tawwater,Vicki Dawkins,593.4
103,William Duarte,Janice Dumlao,25.6
104,Ahmad Stickney,Margaret Matsuda,167.7
105,Grace Williams,Scott Patterson,8.2
106,Kathy Pendergraph,Blair Purvis,11.1
107,Theodore Williams,Catherine Thomas,7.5
108,Derrick Tripp,Terri Hernandez,0.3
109,Peggy Duffy,Karen Peterson,0.6
110,Randal Sullivan,Robin Shelton,29.877
111,Jennifer Alley,Michael Crouse,26.0
112,Julie Reinking,Margaret Matsuda,89.2
113,Tatiana Patterson,Edwin Araujo,2.1
114,Juan Lampkin,David Cobb,0.9
115,Samantha Hawes,Richard Linton,5.6
116,Vincent Mooney,James Bailey,8.0
117,Ann Mcbride,Gilbert Puryear,4.8
118,Paula Cook,Michael Plank,622.8
119,Eric Portillo,Linda Backey,3.5
120,Mary Leon,Adam Samaroo,392.6
121,Joshua Sexton,Scott Patterson,8.8
122,Sarah Miller,Maria Schappert,1.7
123,Sarah Norton,Donna Goodwin,0.1
124,Alexander Gibson,Anna Gaub,36.6
125,Michael Emory,Michelle Allen,0.2
126,Allan Strain,Lonnie Conley,4.4
127,Kim Sprague,Helen Gage,0.4
128,Paula Lagarde,Joan Joyce,7.1
129,Jimmy Ramirez,Steven Hilyer,0.1
130,Richelle Willis,Quintin Fields,160.1
131,Anthony Burcham,Stephan Santamaria,552.7
132,Dennis Anderson,Thelma Coryell,0.1
133,David Brochu,Elizabeth Peng,6.7
134,Vincent Witcher,Keli Opie,1.5
135,Leroy Stovall,Sharon Koerner,4.0
136,Cynthia Johnson,Christopher Johnson,0.1
137,Christine Williams,Lonnie Conley,12.268
138,Jeffery Turner,Sergio Rowland,7.1
139,Isaac Helmes,Francis Lechleidner,2.2
140,Michael Crouse,Melinda Scott,9.2
141,Stefani Brandenburg,Sharon Cole,5.4
142,Alexander Gibson,Eric Portillo,2.5
143,Darrel Whitmer,Eugene Dickerson,3.3
144,Ann Mcbride,Robert Jarvis,10.2
145,Ricky Jinkens,Linda Scruggs,9.4
146,Stanley Matthews,Nicole Chisum,1.9
147,Jillian Wright,Albert Lemasters,4.5
148,Joseph Hedgepeth,Donna Edwards,635.4
149,William Smolen,Richard Fontaine,5.6
150,Paula Cook,Alicia Martin,3.8
151,Jose Smith,Kent Vincent,1.1
152,Tatiana Patterson,Jonathan Mccombs,0.1
153,Roberto Murray,Mable Moldenhauer,1.8
154,Joan Joyce,Marissa Miranda,29.8
155,Donna Goodwin,Zachary Joyal,29.9
156,Richard Robinson,Ahmad Stickney,0.6
157,Melinda Harr,Christopher Skidmore,0.1
158,Daniel Nimox,Suzanne Hines,8.7
159,Elizabeth Anderson,Mary Lebeau,5.0
160,Albert Lemasters,Alexander Huff,1.7
161,John Booker,Petra Ingram,0.3
162,Seema Jensen,Christopher Strong,35.0
163,Amber Hicks,Dwayne Shafer,74.0
164,Dale Robinson,Annie Ammons,2.2
165,James Jarrett,Joseph Alfaro,20.3
166,Teresa Evans,Christopher Lindsey,1.2
167,Elaine Caple,Steve Blackford,7.1
168,Scott Patterson,Sergio Rowland,6.2
169,Vickie Johnson,Deborah Floyd,251.0
170,Jennifer Martin,Viola Ake,8.4
171,Sergio Rowland,Sherri Derby,1.4
172,Casandra Queen,Carla Basham,4.8
173,Candace Lee,Rene Collins,0.3
174,John Herman,Stephen Nettles,0.2
175,James Green,Philomena Davison,4.1
176,Lorenzo Castillo,Noreen Robinson,200.2
177,James Lynch,Donald Perkins,26.1
178,Peggy Kurtz,Gayle Baldwin,284.7
179,Larry Sharp,Candace Moreland,46.323
180,William Duarte,Jennifer Farrar,3.2
181,Elaine Caple,Jennie Whittenberg,0.1
182,Theresa Lopez,Richard Boudreau,3.2
183,Stephen Moss,Debbie Blanchard,7.6
184,Delana Adkins,Samantha Ball,0.5
185,Kina Miller,Audrey Hall,0.3
186,Christopher Strong,Christopher Gilliam,290.2
187,Edith New,Robert Bull,0.3
188,Jess Collins,Sally Santiago,0.8
189,Wanda Jones,Charlene Woody,28.964
190,Rita Ray,Andrea Hernandez,1.0
191,Daniel Sanders,Thelma Coryell,5.2
192,Francis Lechleidner,Michelle Smith,5.5
193,Bonnie Mathieu,Amanda Harr,68.4
194,Angel Lamontagne,Reginald Whitrock,1.6
195,Gloria Larson,Stephanie Mallette,8.3
196,Faye Obrien,Grace Mendez,11.2
197,Candace Lee,David Hendrickson,0.1
198,Stephanie Flowers,Delana Adkins,41.263999999999996
199,Jane Liriano,Marguerite Roe,1.0
200,William Grant,Anthony Dube,0.1
201,Constance Wells,Kenneth Ballance,73.2
202,Rene Collins,Marian Vasmadjides,3.4
203,Robin Shelton,Joseph Wood,2.7
204,Emily Hermann,Troy Cervantes,424.9
205,Joseph Cohen,David Hendrickson,0.0
206,Edward Moseley,James Poindexter,9.8
207,Faye Obrien,Calvin Hough,7.2
208,Tressa Conde,Randy Layne,3.4
209,Gloria Mcgowan,Rebecca Sheneman,0.1
210,Becky Armstrong,Richard Ortiz,343.4
211,Ethel Stehle,Michelle Kinch,57.6
212,Darren Feliciano,Samantha Reyes,5.2
213,Edward Schaffer,June Davis,8.9
214,Charles Rousseau,Shirley Cilley,5.9
215,Bobby Cole,Richelle Willis,0.3
216,Rodrick Moore,Eric Chou,4.6
217,Carla Basham,Joseph Cohen,0.1
218,Susana Abney,James Suiter,0.5
219,William Smolen,Avis Craft,49.4
220,Victor Ouellette,Richard Ortiz,0.7
221,Mabel Ray,Adam Samaroo,8.1
222,Nicole Chisum,Joshua Sexton,4.1
223,Adam Crum,Christopher Skidmore,22.0
224,Lily Bergeson,Luciana Vicars,9.3
225,Stephan Santamaria,Odelia Dent,45.3
226,Eugene Rhodes,Billy Mccarrel,1.7
227,Karen Stoker,Donald Ott,0.4
228,Vaughn Maresco,Maurice Schoenthal,2.6
229,Leslie Lai,Susan Perez,5.1
230,Cassandra Fuhrman,Frank Mercedes,0.6
231,Anthony Dube,Peggy Kurtz,0.8
232,Samantha Ball,Rita Ray,0.9
233,Michael Kilman,Jennifer Alley,0.7
234,Judith Billings,Darren Feliciano,29.3
235,Sarah Clark,Carol Spachtholz,4.3
236,Michael Plank,Richard Ayala,237.3
237,Casandra Queen,Sharon Koerner,0.1
238,Emily Seneca,Samantha Mellerson,5.1
239,Joseph Flint,Amos Wohlenhaus,7.9
240,Carol Spachtholz,Kenneth Abreu,9.4
241,Louise Kocher,Rodrick Moore,3.3
242,Gilbert Puryear,Linda Cooper,3.0
243,Diane Mcbride,Julia Roberts,6.9
244,Thomas Marlatt,Stanley Junkins,5.9
245,Carlos Harting,Donald Irwin,2.6
246,Linda Wolfe,Karl Mccosker,8.6
247,John English,Christopher Strong,1.5
248,Teresa Evans,Raymond Samuel,6.3
249,Carl Anderson,Claude Cox,0.7
250,Suzette Marston,Tracy Ramirez,4.5
251,Richard Ayala,Gayle Devine,0.6
252,Matthew Thomas,Linda Burris,38.2
253,Mary Glickman,Juan Mckenna,3.4
254,Michele Cannon,Joan Kelly,76.277
255,Carlos Harting,Steve Ferrante,1.5
256,Eric Reece,Jennie Whittenberg,0.3
257,Sandra Wagaman,William Grant,55.28099999999999
258,Samantha Reyes,Kenneth Abreu,780.2
259,Alice Butler,Suzanne Hines,90.0
260,Jane Liriano,Kim Sprague,0.8
261,Barbara Martin,Roger Thomas,10.3
262,Kevin Dotter,Laurette Iles,1.9
263,Steve Ferrante,William Smolen,17.9
264,Carlos Harting,Sarah Rodriguez,111.8
265,Janeth Rodriguez,Laurette Iles,4.7
266,Machelle Mayer,Gary Wooley,8.9
267,Sandra Martin,Richard Preslipsky,152.2
268,Kirk Davey,Erin Evans,2.3
269,Patricia Long,Mable Moldenhauer,1.7
270,Lisa Rodriguez,Ryan Walter,6.8
271,Ramona Hansen,Karen Peterson,0.1
272,Adam Crum,Connie Smith,9.3
273,Laura Gonzales,James Green,0.1
274,Marilyn Larkin,Royal Lyall,1.3
275,Douglas Davis,Terry Smith,0.1
276,Mary Thompson,Linda Wolfe,333.8
277,Octavia Suarez,Grace Jones,0.5
278,Cynthia Johnson,William Young,7.4
279,Sarah Clark,Amy Dixon,0.8
280,Sharon Koerner,Angie Rivera,0.2
281,Joseph Wood,Marissa Miranda,3.0
282,Lisa Weaver,Casandra Queen,6.2
283,Christopher Milla,Melinda Scott,46.595
284,Jennifer Martin,Steve Ferrante,19.491999999999997
285,Michael Wilkinson,Naomi Felder,1.1
286,Milton Carrillo,Jennifer Alley,15.5
287,Alvin Lawrence,Michele Cannon,3.9
288,Pamela Wilson,Debbie Reynolds,426.7
289,Jennifer Sharp,Kevin Blackmon,6.8
290,Norbert Sokoloski,Annie Quick,2.2
291,Francis Lilly,Nicole Stalling,6.9
292,Mary Lebeau,Edwin Araujo,37.235
293,Alexander Gibson,Bernice Davis,1.0
294,Margaret Quintero,Robert Araujo,3.1
295,Paul Kirkland,Victor Ouellette,0.3
296,Robert Garo,Melissa Richards,0.0
297,Adam Samaroo,Joan Joyce,0.3
298,Evelyn Vargas,Luis Whalen,2.9
299,Emily Seneca,Christopher Strong,2.1
300,Elizabeth Peng,Aurelio Schmidt,771.8
301,Amanda Levings,Melissa Batters,4.2
302,Stephen Gary,Wanda Jones,0.1
303,Cherie Taylor,Jimmy Corcoran,0.2
304,Paul Burke,Donald Ott,0.5
305,Stephen Gary,Nia Green,28.2
306,Madeline Green,Sarah Rodriguez,34.8
307,Tammy Clement,Vincent Witcher,8.6
308,Tanya Duffy,Pearl Metzger,0.6
309,Albert Lemasters,German West,32.2
310,Johnny Atwood,Joan Joyce,0.1
311,Virginia Earvin,Michael Navarro,8.5
312,Terry Lizarraga,Robert Garo,9.2
313,Sarah Clark,Stephen Moss,1.0
314,Wyatt Wedel,Dolly Rainey,22.264
315,Sonia Snedegar,Frieda Tate,6.1
316,William Young,Juan Mckenna,28.6
317,Samantha Slade,David Eike,122.4
318,Jennifer Alley,Margaret Massey,2.2
319,Marie Simons,Mimi Filion,9.1
320,Lisa Weaver,Rolf Neale,5.5
321,Dionna Gough,Joan Bailey,0.4
322,Tanya Henderson,Donna Goodwin,0.8
323,Donald Perkins,Jeremiah Kopacz,21.8
324,Samantha Ball,Nia Green,37.8
325,Richelle Willis,Mary Thompson,3.6
326,Candace Lee,Sandra Wagaman,3.2
327,Grace Matuszewski,Lavina Blankenship,203.4
328,Betty Duncan,Richard Ortiz,0.1
329,Sharon Koerner,Samantha Hawes,466.2
330,Michelle Allen,Mary Leon,15.007
331,Alvin Lawrence,Jose Smith,3.6
332,Matthew Horton,Henry Lawler,0.1
333,Kim Sprague,Bertha Samuelson,0.4
334,Lawanda West,Sheryl Vo,1.8
335,Steven Cassem,James Roling,0.1
336,Sharon Cleckler,Tia Moldenhauer,70.3
337,Sam Bryant,Billy Bozell,2.0
338,Tad Olson,Juan Curran,18.8
339,Mary James,Beth Forbes,9.8
340,Alisa Harbach,Joan Kelly,2.0
341,Susan Gransberry,Stephen Moss,634.8
342,Dennis Anderson,Francisco Nguyen,4.0
343,Jennifer Sharp,Joseph Green,837.6
344,Claude Cox,Royal Lyall,2.9
345,Thomas Melito,Gracie Johnson,4.0
346,Margaret Massey,Curtis Garrison,34.5
347,Mimi Filion,David Shelpman,3.1
348,Steven Hilyer,Eric Reece,0.8
349,Anthony Burcham,Shirley Cilley,0.4
350,Kristin Hodges,Wendell Sprankle,73.9
351,Ann Howell,Sarah Clark,0.5
352,Janet Henry,Helen Terhune,0.6
353,Geneva Stevens,Joseph Alfaro,6.6
354,Delia Collis,Melissa Batters,246.7
355,Jeremiah Kopacz,William Szymanski,0.1
356,Patrick Gist,Dominic Coleman,4.2
357,Francisco Nguyen,Jean Williams,1.2
358,Mark Bucher,Alice Pickup,6.8
359,Jose Deem,William Smolen,550.0
360,Clarence Wooten,Jean Goldfarb,1.4
361,Victor Francis,Sharon Wilson,7.9
362,Diane Pacheco,Alicia Maier,13.5
363,William Marlowe,David Kelley,22.0
364,Walter Cathey,Kathy Spalding,5.1
365,Maria Schappert,Joseph Davis,0.1
366,Mike Penn,Tony Voeks,2.6
367,Michael Fuller,Theresa Harrell,1.5
368,Ray Stern,Kina Miller,8.8
369,Elaine Taylor,Karen Peterson,57.711
370,Leslie Lai,Lou Price,3.9
371,Joan Kelly,Kevin Blackmon,4.5
372,Mable Moldenhauer,Rosa Hines,0.1
373,Clarence Wooten,Eric Reece,43.1
374,Carol Spachtholz,Terry Smith,0.5
375,Justin Hamilton,Eugene Rhodes,65.6
376,Jennifer Caldon,Bertha Mcgrew,14.9
377,Emily Seneca,Casandra Queen,122.3
378,Richard Oliver,Thomas Gurry,5.6
379,Edward Moseley,Beth Forbes,134.8
380,Frederick Pease,Jane Billiot,4.3
381,Amanda Harr,Stefani Brandenburg,4.9
382,Ryan Walter,Robert Jones,0.1
383,Alan Enos,Alexander Gibson,2.8
384,David Cobb,Kathleen Carter,7.4
385,Jesus Klein,Jose Deem,0.9
386,James Suiter,Carol Spachtholz,2.9
387,Jesse Leonard,Marguerite Roe,5.1
388,Luciana Vicars,Justina Mclaine,8.8
389,Matthew Bacon,Daniel Bivins,956.6
390,Darnell Brown,Donna Lemelin,1.1
391,Stephen Nettles,Betty Duncan,0.5
392,Walter Keller,Juan Curran,57.0
393,Josefina Lucas,Betty Tawwater,1.3
394,Michael Emory,Kurt Vagliardo,742.8
395,Doris Dickey,William Duarte,7.4
396,John Anderson,Michael Taylor,9.5
397,Brandon Batiste,Priscilla Gibson,0.2
398,Ruth Quezada,James Roling,4.0
399,Teresa Erdmann,Isaac Raio,935.3
400,James Poindexter,Kevin Jones,7.7
401,Anthony Barajas,April Broten,154.0
402,Jeffrey Mosley,Clyde Garmon,0.1
403,Robert Whetstine,Bertha Mcgrew,567.1
404,Adeline Fullwood,Nancy Denton,711.1
405,Robert Jones,Jeremy Gomez,10.045
406,Tanya Duffy,Robert Desouza,7.5
407,Joann Fowlkes,David Haage,3.0
408,Mike Peak,Daniel Charles,117.5
409,Morgan Rowland,Donna Stallings,29.5
410,Kimberly Coston,Francis Lilly,0.3
411,Melanie Ellison,James Duran,0.1
412,Lewis Cox,Naomi Lee,1.6
413,Dale Taylor,Susan Mcgraw,4.6
414,German West,Reginald Eatmon,25.1
415,Ida Kimbrough,Dennis Anderson,5.9
416,Edith New,Petra Ingram,57.3
417,Julius Armes,Kenneth Wiles,2.2
418,Tracy Ramirez,Wayne Williams,9.0
419,Marcella Goodrich,Jose Patterson,5.8
420,Naomi Lee,Wyatt Wedel,286.4
421,Jose Pao,Alicia Martin,5.0
422,Tina Sheridan,Juan Curran,6.2
423,Doris Rogers,Geneva Stevens,7.9
424,Kathryn Hanlon,Petra Ingram,82.2
425,Charles Cody,Theresa Govea,0.5
426,Linda Burris,Vinnie Walt,6.1
427,Robert Desouza,Emily Hermann,2.9
428,Vivian Hein,Morgan Rowland,6.7
429,Freeman Ahmed,Patrick Toupin,4.7
430,Lonnie Conley,Luis Whalen,9.2
431,Dolly Rainey,Amos Haak,153.0
432,Joshua Morris,Kathy Spalding,0.2
433,Stanley Matthews,Grace Williams,974.0
434,Maria Reny,Joseph Davis,2.3
435,Carl Sollars,Janine Condon,336.3
436,Jacquelyn Bowers,Alvin Lawrence,2.9
437,Joseph Green,Debra Rhodus,5.5
438,Emily Hermann,Alicia Martin,7.5
439,Tanya Duffy,Howard Randall,6.0
440,Sally Perry,Donna Edwards,283.0
441,William Mcginty,Vickie Johnson,2.2
442,Carol Spachtholz,Jorge Talbot,5.7
443,Jose Patterson,Vincent Newport,8.2
444,Edward Johnson,Laura Gonzales,5.4
445,Naomi Lee,Janet Coles,27.8
446,Angelica Patterson,Michael Emory,4.2
447,Elaine Jines,Tara Hudson,5.5
448,Lawanda West,Anthony Dube,2.4
449,Susan Lehnortt,Mario Hall,2.0
450,Mary Martin,Julia Segura,0.2
451,Dale Stradley,Lou Price,66.728
452,Donna Rhodes,Leslie Lai,0.9
453,Shawn Harper,Stephen Moss,22.3
454,Julia Roberts,Kathy Pendergraph,1.6
455,Gary Weston,Howard Randall,0.6
456,Donald Perkins,Kim Sprague,6.4
457,Ann Mcbride,Linda Cooper,787.3
458,Thomas Gurry,Peter Comstock,4.3
459,Cassandra Fuhrman,Erin Evans,23.9
460,Donald Irwin,Robert Long,212.8
461,Juan Bowen,Robert Bull,6.7
462,Randall Lopez,April Broten,1.9
463,Joel Turner,Tammy Clement,8.5
464,Martha Robles,Ron Mckinney,0.6
465,Naomi Lee,Sergio Rowland,0.1
466,Gary Rosales,Sarah Boucher,100.0
467,Mike Peak,Terry Abner,5.6
468,Donald Perkins,Arthur Brown,0.1
469,Charles Yap,Morgan Rowland,2.0
470,Sara Menendez,Adeline Fullwood,32.467
471,Dolores Roy,Joann Bay,0.7
472,Alvin Runk,John Herman,0.5
473,Donna Fortin,Kitty Cleek,2.5
474,Delia Collis,Margaret Massey,9.1
475,Hope Obregon,Christine Williams,65.7
476,Marina Burger,Amy Brown,1.3
477,Donna Lemelin,Dolly Rainey,30.0
478,Keith Jones,Michael Patrick,0.1
479,Teresa Anderson,Janeth Rodriguez,5.3
480,Pamela Wilson,Amanda Harr,40.3
481,Richard Boudreau,Julia Segura,10.968
482,Gayle Devine,Elizabeth Mcguffee,4.2
483,Tammy Spiess,Anna Mcfarling,103.7
484,Francis Mendez,Stephen Jordan,0.1
485,Tim Zorn,Marguerite Roe,37.3
486,Gayle Baldwin,Paul Burke,3.4
487,Elizabeth Langer,Alisa Harbach,0.6
488,Maxine Perza,Dalia Whitaker,10.8
489,Christopher Chaffee,Virginia Vanlandingham,13.216999999999999
490,Douglas Robinson,Randy Layne,45.8
491,Rene Collins,June Davis,1.1
492,Sharon Cleckler,Helen Silmon,131.8
493,Joseph Green,David Martinez,0.1
494,Dale Stradley,Thomas Seay,145.8
495,James Becker,Gerardo Ogren,18.561
496,Paul Burke,Cynthia Hollomon,8.9
497,Michael Wilkinson,Rodrigo Jones,5.1
498,Curtis Garrison,Joann Bay,3.4
499,Patricia Huang,Barbara Martin,8.0
500,Reginald Whitrock,Debra Segura,4.8
501,Jorge Talbot,Debra Hulbert,3.8
502,Kristin Hodges,Laurette Iles,731.8
503,Terry Smith,Amber Buchanan,6.7
504,Randall Lopez,Sandra Fisher,65.24
505,Dale Robinson,Mabel Ray,3.4
506,Jose Janelle,Kitty Cleek,3.9
507,Cristobal Harris,Joseph Green,8.7
508,Irving Bennett,Patricia Pierre,2.1
509,Pamela Wilson,David Eike,0.1
510,Jose Butler,Julia Segura,8.6
511,Angela Thomas,Josephine Dodson,13.703
512,Karen Peterson,Billy Tyler,1.3
513,Machelle Mayer,Jo Patterson,3.0
514,Eugene Dickerson,Gwen Young,5.3
515,Helen Silmon,Tanya Duffy,0.4
516,Howard Randall,Mary Lampman,176.4
517,Audrey Hall,Dale Langan,5.9
518,Steven Hilyer,Terry Hill,104.6
519,Jennifer Farrar,Patrick Gist,2.2
520,Robert Wheeler,Margaret Rossi,2.7
521,Donna Stallings,David Shelpman,0.4
522,Vinnie Walt,Ruthann Tarrant,4.9
523,Helen Silmon,Mary James,487.3
524,Kimberly Coston,Kevin Blackmon,0.8
525,Joel Turner,Edward Moseley,0.1
526,Ed Saenz,James Poindexter,0.1
527,Michael Patrick,Sharon Koerner,16.412
528,Susan Tupper,Linda Cooper,0.2
529,Carl Sollars,Mary Martin,0.5
530,Christopher Chaffee,Richard Ayala,20.4
531,Deborah Floyd,Connie Gibson,1.2
532,Shannon Cox,Julie Livingston,1.9
533,Fredrick Escobar,Viola Ake,0.2
534,Freddie White,Tatiana Patterson,0.7
535,Sheryl Vo,Jill Ferguson,360.1
536,Wendell Sprankle,Tanya Duffy,49.0
537,Jesus Klein,Chester Stiltner,1.6
538,David Martinez,Kathleen Carter,104.6
539,Robert Jarvis,Sally Oneill,0.7
540,Donald Perkins,Randy Layne,0.8
541,Michael Pearce,Troy Gowen,9.8
542,Janine Condon,Amy Barkley,9.7
543,Marshall Canpos,Aldo Boggs,5.9
544,Brenda Houck,Christopher Lindsey,0.2
545,Tatiana Patterson,Catherine Thomas,545.8
546,Mike Peak,Stephan Santamaria,14.0
547,Tina Muncie,Shannon Cox,37.682
548,Sally Lamb,Sarah Miller,9.6
549,Petra Ingram,Tim Rivera,18.3
550,Diane Mcbride,Mary Martin,28.7
551,Quintin Fields,Kent Vincent,0.5
552,Michael Edwards,Connie Gibson,2.0
553,Rene Collins,Jo Patterson,20.5
554,Emmett Anderson,Barbara Martin,6.3
555,Ronda Pollitt,Fernando Woods,22.911
556,David Hunter,Janeth Rodriguez,7.8
557,Michael Elkin,Maria Reny,0.3
558,Vicki Dawkins,William Sim,1.0
559,Teresa Evans,Michelle Kinch,14.2
560,Darnell Brown,Scott Arredondo,3.8
561,Peter Castillo,Janis Moree,241.5
562,Randy Layne,Juan Lampkin,0.7
563,Elaine Caple,Kathryn Hanlon,6.4
564,Hope Obregon,Rachel Mula,25.2
565,Thomas Seay,Michael Pearce,8.3
566,Carol Spachtholz,David Haage,11.3
567,Jamie Reinwald,James Lynch,3.2
568,Jean Williams,Willie Rappa,2.9
569,Mildred Lo,Cynthia Ray,0.1
570,Ernest Herrera,June Smith,0.8
571,Arthur Brown,Naomi Lee,3.6
572,Adrian Evans,Jose Patterson,0.2
573,Michelle Smith,Rita Thornton,1.9
574,Michael Patrick,Randall Bean,3.1
575,Eric Portillo,June Davis,3.3
576,Sandra Dillingham,James Jarrett,4.4
577,Anna Hall,Martha Hubbard,5.9
578,Melanie Ellison,Kirk Davey,0.5
579,Jonathan Mccombs,Bobby Cole,0.4
580,Annie Quick,Juan Bowen,170.9
581,Roger Marshall,Raymond Lewis,3.6
582,Candace Lee,Candace Lee,0.0
583,Carlos Harting,Bennie Diaz,231.2
584,Louise Davis,Mario Haman,600.9
585,Rafael Camargo,Dennis Anderson,200.527
586,Edward Wang,Marshall Canpos,2.0
587,Julie Reinking,Irving Bennett,1.3
588,Alexa Prevatte,Randal Sullivan,6.0
589,Jacquelyn Bowers,Theodore Thomas,2.4
590,Kathleen Hoffman,Cristobal Harris,38.1
591,Julie Reinking,Geneva Stevens,1.2
592,Emily Hermann,Susan Walker,5.7
593,Elizabeth Peng,Marguerite Carver,129.9
594,Randall Bean,Nancy Neubauer,79.86699999999999
595,Elizabeth Anderson,Walter Cathey,81.2
596,Mary Wilson,Jose Smith,2.8
597,Peter Comstock,Peggy Dowlin,6.7
598,Luis Whalen,Sheryl Vo,0.9
599,Robert Long,Kathy Pendergraph,377.7
600,Dwayne Shafer,Florence Wiles,0.8
601,Luis Whalen,Sandra Dillingham,5.0
602,Melissa Batters,Jimmy Ramirez,6.4
603,Dale Taylor,Debbie Reynolds,13.1
604,James Jarrett,Willis Alger,18.5
605,Betty Duncan,Lee Morse,86.2
606,Joshua Morris,Larry Greenblatt,0.1
607,Rebecca Trogdon,Richard Hernandez,0.1
608,Bobby Cole,Rita Snider,0.1
609,Walter Elkins,Carl Anderson,3.2
610,Catherine Thomas,Candace Lee,2.7
611,Tracy Gagnon,Mary Garcia,26.743000000000002
612,Sheryl Vo,Peter Castillo,3.6
